Datum (MEZ),Solar,Solar Prognose (Day-Ahead D-1 18:00)
2014-12-31,0.0,0.0
2015-01-31,2238693.4,2376222.5
2015-02-28,5484011.5,5444871.8
2015-03-31,11434303.1,11657984.5
2015-04-30,17741565.0,17533793.0
2015-05-31,17646370.2,18293171.1
2015-06-30,18211292.1,19012914.0
2015-07-31,19670021.0,20219154.9
2015-08-31,18450274.4,18912768.7
2015-09-30,12906123.2,13267304.0
2015-10-31,7785380.7,8240714.7
2015-11-30,4545935.4,4383166.2
2015-12-31,3403728.1,3250833.0
2016-01-31,2617230.3,2640433.8
2016-02-29,5028572.6,5396103.6
2016-03-31,9656628.1,9616994.6
2016-04-30,15006120.3,15540332.4
2016-05-31,18867087.1,19593866.7
2016-06-30,19197242.5,18446299.7
2016-07-31,19733809.6,20022404.4
2016-08-31,18829192.1,19202564.4
2016-09-30,15300105.5,15499286.3
2016-10-31,6739407.0,7045370.1
2016-11-30,4116099.6,4321820.8
2016-12-31,3107867.0,3362255.5
2017-01-31,3193674.6,2943394.4
2017-02-28,5939863.8,5717826.1
2017-03-31,12922406.4,12590290.0
2017-04-30,15427429.7,15500262.3
2017-05-31,20481236.9,19762296.5
2017-06-30,21467426.4,21841904.7
2017-07-31,19545370.5,19532580.2
2017-08-31,18411143.0,18510427.1
2017-09-30,12317122.7,12612170.1
2017-10-31,8521258.1,8179447.3
2017-11-30,3324068.7,3668560.1
2017-12-31,1981672.2,2121998.5
2018-01-31,2920583.1,2770564.8
2018-02-28,7321995.2,7381050.0
2018-03-31,10815630.7,10318586.9
2018-04-30,19348182.7,19189125.9
2018-05-31,23725900.3,23808448.3
2018-06-30,21349267.3,21377038.4
2018-07-31,24667591.3,24876241.8
2018-08-31,20733830.5,20897589.8
2018-09-30,16277256.8,16233107.4
2018-10-31,10994334.3,11325811.0
2018-11-30,4683806.2,5122210.5
2018-12-31,2098656.3,2158353.1
2019-01-31,2980078.9,3040333.2
2019-02-28,8765070.0,8422599.3
2019-03-31,12207956.7,11763721.5
2019-04-30,20445447.3,20714309.4
2019-05-31,20092504.6,19363017.6
2019-06-30,25817155.1,25793215.5
2019-07-31,22938328.6,22882675.3
2019-08-31,21112373.1,20971352.8
2019-09-30,15656706.4,15399716.8
2019-10-31,9715991.5,9940072.5
2019-11-30,4193350.1,4436748.8
2019-12-31,3734064.8,3540457.5
2020-01-31,4286393.3,4257956.1
2020-02-29,6648287.8,6614952.9
2020-03-31,16393856.0,16465622.0
2020-04-30,25344002.9,25348823.2
2020-05-31,24916408.4,24652455.2
2020-06-30,22962201.6,22951775.8
2020-07-31,25149087.2,24742895.6
2020-08-31,21792008.2,21858117.6
2020-09-30,18465757.1,18605809.6
2020-10-31,8568411.3,8841742.9
2020-11-30,5995762.9,6410896.5
2020-12-31,2683755.3,2689476.7
2021-01-31,2430017.0,2552163.3
2021-02-28,7921214.9,8010501.6
2021-03-31,16531979.5,16122123.2
2021-04-30,21882949.5,21516235.8
2021-05-31,23559877.3,23210032.4
2021-06-30,28390942.5,28504509.5
2021-07-31,24865824.6,25526787.6
2021-08-31,21083792.6,21099577.3
2021-09-30,19121315.4,19754395.5
2021-10-31,12766490.4,12968891.0
2021-11-30,4393189.2,4751276.5
2021-12-31,2830216.9,2759985.2
2022-01-31,3900669.9,3979091.5
2022-02-28,8933059.2,8836427.7
2022-03-31,21987391.0,22469899.3
2022-04-30,22362088.4,21511767.2
2022-05-31,29441622.7,29564431.8
2022-06-30,31490045.9,30679939.2
2022-07-31,31615464.3,31673738.6
2022-08-31,29147498.3,29547559.5
2022-09-30,18927546.5,18802948.4
2022-10-31,14131682.5,14505475.3
2022-11-30,6815955.6,6950654.6
2022-12-31,2626392.7,3085007.4
2023-01-31,3419295.6,3706419.7
2023-02-28,9414090.5,9120398.5
2023-03-31,15017941.7,14184192.1
2023-04-30,21619158.9,21552834.6
2023-05-31,31378331.0,31531339.2
2023-06-30,34945387.3,35467777.4
2023-07-31,30465735.0,30916093.4
2023-08-31,25975760.2,26224215.9
2023-09-30,26413732.3,26678695.2
2023-10-31,13505106.2,13517488.1
2023-11-30,5610056.0,5826805.1
2023-12-31,3181422.0,3201361.6
2024-01-31,5870241.9,5980336.0
2024-02-29,9052333.6,9053322.0
2024-03-31,19604767.2,19294695.1
2024-04-30,26607752.5,25037550.4
2024-05-31,34256559.3,33432168.3
2024-06-30,35142943.2,36245213.4
2024-07-31,37850243.0,38667708.1
2024-08-31,36154701.2,36343839.4
2024-09-30,4463654.4,4383405.2
