Datum,Werte (MW)
2015-01-01,2238694.0
2015-02-01,5484017.0
2015-03-01,11434309.0
2015-04-01,17741556.0
2015-05-01,17646277.0
2015-06-01,18211293.0
2015-07-01,19670012.0
2015-08-01,18450285.0
2015-09-01,12906267.0
2015-10-01,7784481.0
2015-11-01,4545935.0
2015-12-01,3403718.0
2016-01-01,2683523.0
2016-02-01,5028578.0
2016-03-01,9945575.0
2016-04-01,15855805.0
2016-05-01,19915804.0
2016-06-01,19106740.0
2016-07-01,19771246.0
2016-08-01,18879573.0
2016-09-01,15393647.0
2016-10-01,6718892.0
2016-11-01,4083534.0
2016-12-01,3167754.0
2017-01-01,3193689.0
2017-02-01,5939903.0
2017-03-01,12922394.0
2017-04-01,15427605.0
2017-05-01,20481368.0
2017-06-01,21467550.0
2017-07-01,19545352.0
2017-08-01,18411149.0
2017-09-01,12317145.0
2017-10-01,8521266.0
2017-11-01,3324124.0
2017-12-01,1981664.0
2018-01-01,2920558.0
2018-02-01,7321978.0
2018-03-01,10815662.0
2018-04-01,19348181.0
2018-05-01,23725915.0
2018-06-01,21349288.0
2018-07-01,24667595.0
2018-08-01,20733857.0
2018-09-01,16277268.0
2018-10-01,10994336.0
2018-11-01,4683822.0
2018-12-01,2098638.0
2019-01-01,2980086.0
2019-02-01,8765069.0
2019-03-01,12099502.0
2019-04-01,19972329.0
2019-05-01,20019257.0
2019-06-01,25849480.0
2019-07-01,22938334.0
2019-08-01,21114242.0
2019-09-01,15656718.0
2019-10-01,9715809.0
2019-11-01,4193336.0
2019-12-01,3732091.0
2020-01-01,4387566.0
2020-02-01,6684693.0
2020-03-01,16416290.0
2020-04-01,25268855.0
2020-05-01,24786148.0
2020-06-01,22875310.0
2020-07-01,25137319.0
2020-08-01,21754172.0
2020-09-01,18518957.0
2020-10-01,8651469.0
2020-11-01,6068159.0
2020-12-01,2740057.0
2021-01-01,2451561.0
2021-02-01,7973911.0
2021-03-01,16532683.0
2021-04-01,21853638.0
2021-05-01,23590114.0
2021-06-01,28505310.0
2021-07-01,24980117.0
2021-08-01,21113982.0
2021-09-01,19211241.0
2021-10-01,12885158.0
2021-11-01,4456975.0
2021-12-01,2872849.0
2022-01-01,3789213.0
2022-02-01,8937174.0
2022-03-01,22337958.0
2022-04-01,22938710.0
2022-05-01,30266917.0
2022-06-01,31826968.0
2022-07-01,31300989.0
2022-08-01,28876703.0
2022-09-01,18927531.0
2022-10-01,14131631.0
2022-11-01,6745025.0
2022-12-01,2589550.0
2023-01-01,3332866.0
2023-02-01,9316379.0
2023-03-01,15029024.0
2023-04-01,22085578.0
2023-05-01,31998939.0
2023-06-01,35636601.0
2023-07-01,30815530.0
2023-08-01,26149234.0
2023-09-01,26359321.0
2023-10-01,13375837.0
2023-11-01,5609602.0
2023-12-01,3160724.0
2024-01-01,5870393.0
2024-02-01,9052347.0
2024-03-01,19604796.0
2024-04-01,26607734.0
2024-05-01,34256739.0
2024-06-01,35142963.0
2024-07-01,37850255.0
