Jahr,Monat,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Schleswig-Holstein,Saarland,Sachsen,Sachsen-Anhalt,Thueringen/Sachsen-Anhalt,Thueringen,Deutschland,
2015,01,29.8,29.9,40.9,39.0,27.5,33.9,33.3,33.3,35.7,33.3,35.4,27.2,34.3,39.2,36.5,32.9,35.3,
2016,01,49.6,49.6,57.0,51.1,43.2,46.7,44.8,44.5,52.6,45.2,35.2,43.7,51.4,54.5,54.5,54.5,49.4,
2017,01,59.1,59.1,82.9,87.8,80.2,53.7,59.7,59.7,78.8,78.5,57.6,74.4,73.3,63.1,69.8,78.5,73.0,
2018,01,31.6,31.6,41.0,43.4,23.6,29.3,29.4,29.4,23.7,26.7,35.0,21.9,33.1,36.0,32.4,27.8,33.2,
2019,01,47.0,46.9,32.6,43.1,39.2,42.2,47.4,47.4,44.3,39.9,47.9,39.1,49.7,54.7,52.1,48.7,44.0,
2020,01,64.6,64.5,88.0,77.9,47.0,41.4,38.4,38.3,42.9,51.6,29.6,51.8,66.8,64.8,64.1,63.1,59.2,
2021,01,25.3,25.4,37.4,38.7,16.7,22.7,31.1,31.2,22.6,25.9,35.5,34.5,31.8,28.6,26.0,22.5,30.0,
2022,01,39.6,39.7,74.6,49.0,27.7,42.6,27.8,27.8,30.7,46.4,41.4,58.9,33.9,30.4,28.4,25.7,41.2,
2023,01,28.5,28.5,35.2,40.2,24.0,26.6,32.4,32.5,25.3,28.9,38.8,22.5,31.4,32.3,31.3,30.0,32.2,
2024,01,60.4,60.4,83.7,81.2,67.3,50.1,63.9,63.7,69.7,75.5,56.9,68.0,69.1,66.4,65.6,64.6,69.7,
2015,02,110.2,110.1,86.4,83.3,74.7,86.3,85.1,84.8,90.7,69.9,63.1,66.0,114.9,102.0,99.3,95.8,88.0,
2016,02,66.1,66.2,48.1,51.9,48.3,67.1,74.4,74.3,72.4,54.4,65.9,52.9,58.5,65.4,58.3,49.0,60.2,
2017,02,65.1,65.2,87.1,89.8,67.7,54.6,51.9,51.9,61.5,63.2,43.8,57.3,71.2,61.8,64.0,67.0,68.7,
2018,02,133.6,133.3,90.7,96.8,117.4,115.4,120.3,120.5,133.3,127.5,111.1,125.4,124.4,117.2,109.6,99.5,113.7,
2019,02,119.2,119.2,161.2,143.5,127.9,105.3,112.8,112.8,123.5,142.5,105.0,154.8,123.9,122.4,121.9,121.3,128.9,
2020,02,51.8,51.9,94.8,84.8,56.4,57.7,48.9,48.8,52.7,67.0,45.8,66.4,50.2,54.9,54.1,53.2,63.9,
2021,02,92.2,92.2,128.1,125.6,111.6,94.3,90.7,90.7,106.0,117.7,92.7,114.2,98.8,94.9,97.3,100.6,107.3,
2022,02,68.5,68.6,107.1,101.1,80.2,70.2,74.5,74.5,78.6,90.7,73.7,89.3,81.5,79.0,80.6,82.6,85.0,
2023,02,76.8,76.8,109.5,97.0,88.4,77.6,86.3,86.2,92.6,105.1,74.3,113.0,71.4,76.9,78.1,79.7,89.2,
2024,02,49.7,49.6,68.9,64.6,51.6,48.0,33.6,33.5,40.8,53.9,30.1,47.5,51.6,51.8,51.9,52.1,51.2,
2015,03,131.4,131.3,168.0,152.0,135.2,124.5,127.9,128.0,121.8,144.7,123.9,154.6,144.6,131.7,134.0,137.0,139.1,
2016,03,97.5,97.5,113.4,105.5,87.8,99.3,99.6,99.6,97.4,96.7,103.3,91.7,86.1,92.9,87.9,81.3,99.1,
2017,03,132.4,132.5,177.4,158.6,148.0,127.6,141.4,141.3,149.4,159.4,131.3,160.6,136.5,142.3,142.0,141.7,148.4,
2018,03,124.6,124.7,104.9,108.6,103.0,121.5,119.4,119.3,116.6,95.9,96.7,86.4,121.7,124.5,118.8,111.4,112.6,
