Start DateTime,Day-ahead Total Load Forecast [MW] - Germany (DE),Actual Total Load [MW] - Germany (DE)
2015-01-01,166302682.0,181834199.0
2015-02-01,155342139.0,169561960.0
2015-03-01,169030231.0,178454891.0
2015-04-01,154113340.0,160907650.0
2015-05-01,151195903.0,157742225.0
2015-06-01,144282328.0,157080291.0
2015-07-01,159101320.0,165570368.0
2015-08-01,156216438.0,160031293.0
2015-09-01,155865463.0,161457668.0
2015-10-01,161485166.0,171355194.0
2015-11-01,163451047.0,173864719.0
2015-12-01,165071295.0,170109019.0
2016-01-01,165999055.0,180283749.0
2016-02-01,160421792.0,171671729.0
2016-03-01,163961621.0,175266530.0
2016-04-01,150598368.0,162494443.0
2016-05-01,149426480.0,160731863.0
2016-06-01,150414626.0,158883937.0
2016-07-01,154457288.0,162251494.0
2016-08-01,152276298.0,160634631.0
2016-09-01,151658720.0,157836440.0
2016-10-01,159994362.0,169457610.0
2016-11-01,167282955.0,177979446.0
2016-12-01,166725186.0,178199264.0
2017-01-01,176245538.0,189674476.0
2017-02-01,163758898.0,168989355.0
2017-03-01,172077001.0,177904603.0
2017-04-01,152798720.0,160228092.0
2017-05-01,158266669.0,164367586.0
2017-06-01,154348182.0,157576939.0
2017-07-01,159230327.0,162072710.0
2017-08-01,155627962.0,160675628.0
2017-09-01,152484754.0,159870244.0
2017-10-01,163110205.0,169879488.0
2017-11-01,171254798.0,176817366.0
2017-12-01,173526282.0,179109177.0
2018-01-01,179797650.0,186057461.0
2018-02-01,165817790.0,171836574.0
2018-03-01,177922815.0,184054004.0
2018-04-01,154310036.0,160888536.0
2018-05-01,156966087.0,162179481.0
2018-06-01,157397799.0,161299928.0
2018-07-01,161983045.0,163775618.0
2018-08-01,162783556.0,164844757.0
2018-09-01,157307652.0,160855463.0
2018-10-01,167758827.0,172726244.0
2018-11-01,169217298.0,174248168.0
2018-12-01,167604882.0,174252846.0
2019-01-01,176775678.0,185751437.0
2019-02-01,160700754.0,165412057.0
2019-03-01,167893622.0,174654148.0
2019-04-01,150816097.0,157895903.0
2019-05-01,152721800.0,162497609.0
2019-06-01,145434562.0,152469591.0
2019-07-01,161134754.0,163742879.0
2019-08-01,154000170.0,158218830.0
2019-09-01,152083619.0,157624713.0
2019-10-01,162833713.0,169461398.0
2019-11-01,164130573.0,172064059.0
2019-12-01,166640250.0,169672037.0
2020-01-01,175043453.0,181296381.0
2020-02-01,167179119.0,172517607.0
2020-03-01,171732015.0,171356079.0
2020-04-01,147709858.0,146099609.0
2020-05-01,148652596.0,148437234.0
2020-06-01,144314517.0,145788728.0
2020-07-01,151433907.0,153824688.0
2020-08-01,149563086.0,154023564.0
2020-09-01,148975894.0,154704255.0
2020-10-01,165261031.0,170812591.0
2020-11-01,164936192.0,170868726.0
2020-12-01,165598704.0,171831344.0
2021-01-01,169915903.0,182525776.0
2021-02-01,160035472.0,167035499.0
2021-03-01,169141915.0,179519435.0
2021-04-01,154461323.0,164219830.0
2021-05-01,160765038.0,160913911.0
2021-06-01,155280313.0,157916815.0
2021-07-01,159518785.0,162517035.0
2021-08-01,156065524.0,157580988.0
2021-09-01,156094245.0,158040997.0
2021-10-01,169338742.0,172884926.0
2021-11-01,169834059.0,175579010.0
2021-12-01,176148155.0,179615008.0
2022-01-01,179088096.0,185148316.0
2022-02-01,166760943.0,169271596.0
2022-03-01,173051198.0,175688794.0
2022-04-01,159157168.0,160516455.0
2022-05-01,157308249.0,159540198.0
2022-06-01,150123550.0,149450769.0
2022-07-01,156762819.0,153470146.0
2022-08-01,154908560.0,149813656.0
2022-09-01,154042409.0,149422737.0
2022-10-01,168142765.0,154182780.0
2022-11-01,168034929.0,159098445.0
2022-12-01,168862688.0,163651589.0
2023-01-01,175639057.0,168611815.0
2023-02-01,156073058.0,152552302.0
2023-03-01,170443975.0,163499634.0
2023-04-01,148610619.0,144578742.0
2023-05-01,149541966.0,145272838.0
2023-06-01,146633728.0,141940928.0
2023-07-01,143965172.0,145056494.0
2023-08-01,140875701.0,145204478.0
2023-09-01,138706886.0,143231190.0
2023-10-01,150243164.0,155188281.0
2023-11-01,157514809.0,164363096.0
2023-12-01,161298004.0,163997120.0
2024-01-01,169580450.0,176381993.0
2024-02-01,157747389.0,159827644.0
2024-03-01,159348281.0,160770407.0
2024-04-01,150003318.0,144732688.0
2024-05-01,149199298.0,140954515.0
2024-06-01,146887657.0,144702774.0
2024-07-01,151822977.0,150906256.0
