Datum (MEZ),Last,Last Prognose (Day-Ahead D-1 18:00)
2014-12-31,178400.6,168622.9
2015-01-31,180588921.4,166318286.9
2015-02-28,168185438.9,155157909.0
2015-03-31,177742301.9,169419376.7
2015-04-30,160103042.7,154052687.6
2015-05-31,157166900.5,151171039.9
2015-06-30,156930478.7,144321774.2
2015-07-31,165560218.1,159112762.3
2015-08-31,160094190.1,156220879.3
2015-09-30,161415454.1,155851583.8
2015-10-31,170874317.8,161303446.9
2015-11-30,173198680.0,163491075.2
2015-12-31,169014385.6,165028241.7
2016-01-31,179819827.9,166031568.9
2016-02-29,171221603.2,160427872.3
2016-03-31,175148055.4,164115135.8
2016-04-30,162228823.6,150545964.1
2016-05-31,160636487.8,149476724.0
2016-06-30,158818071.5,150415929.9
2016-07-31,162157186.2,154416783.2
2016-08-31,160573819.9,152321986.1
2016-09-30,157596631.1,151635776.2
2016-10-31,168881130.7,159833181.9
2016-11-30,177551456.5,167323340.9
2016-12-31,177714905.6,166669538.2
2017-01-31,189241462.6,176304994.0
2017-02-28,168390825.3,163750170.9
2017-03-31,177420612.6,172223243.0
2017-04-30,159706612.1,152755879.2
2017-05-31,164178329.7,158318839.6
2017-06-30,157430572.3,154334253.9
2017-07-31,161912141.6,159222470.2
2017-08-31,160522388.2,155635067.8
2017-09-30,159605859.9,152432596.5
2017-10-31,169352781.3,162993584.8
2017-11-30,176420047.2,171286306.6
2017-12-31,178510096.8,173479259.4
2018-01-31,185895772.0,179847671.2
2018-02-28,171742541.6,165846415.8
2018-03-31,184080960.7,178009039.2
2018-04-30,160885973.6,154324841.1
2018-05-31,162186560.8,156955955.9
2018-06-30,161271937.9,157395040.9
2018-07-31,163831871.1,162035612.9
2018-08-31,164813469.9,162754762.7
2018-09-30,160841260.6,157299695.9
2018-10-31,172590806.7,167606653.6
2018-11-30,174255713.1,169224888.5
2018-12-31,174220633.3,167574397.4
2019-01-31,185723330.4,176822581.7
2019-02-28,165194726.2,160480975.6
2019-03-31,174880939.0,168224083.4
2019-04-30,157897715.7,150806508.1
2019-05-31,162478344.7,152724042.4
2019-06-30,152501405.3,145442022.4
2019-07-31,163743443.6,161156287.4
2019-08-31,158194556.8,153963857.3
2019-09-30,157662772.6,152120457.3
2019-10-31,169254410.9,162669177.2
2019-11-30,172005326.1,164124031.2
2019-12-31,169611819.1,166640409.3
2020-01-31,181259289.5,175073717.3
2020-02-29,172413350.1,167155261.3
2020-03-31,171397380.4,171926938.9
2020-04-30,146031437.6,147665155.9
2020-05-31,148395077.8,148613678.7
2020-06-30,145862055.6,144349754.0
2020-07-31,153800277.6,151426403.9
2020-08-31,154032930.9,149570870.2
2020-09-30,154727556.5,149006453.2
2020-10-31,170615636.5,165065309.5
2020-11-30,170826504.5,164969798.6
2020-12-31,171804265.1,165567636.8
2021-01-31,182508897.4,169934526.9
2021-02-28,166871287.4,160025267.5
2021-03-31,179601933.6,169328979.8
2021-04-30,164200075.9,154443165.1
2021-05-31,160931979.8,160773209.2
2021-06-30,157934007.8,155304370.5
2021-07-31,162452920.3,159457551.7
2021-08-31,157628602.4,156108970.6
2021-09-30,158056644.5,156122617.4
2021-10-31,172688331.5,169118114.3
2021-11-30,175569144.5,169886910.8
2021-12-31,179617026.4,176090924.8
2022-01-31,185090964.9,179135286.7
2022-02-28,169275409.3,166756425.7
2022-03-31,175876522.7,173236056.5
2022-04-30,160399923.3,159096524.3
2022-05-31,159568548.3,157337208.2
2022-06-30,149474454.8,150129281.2
2022-07-31,153408984.4,156722022.3
2022-08-31,149843683.2,154933233.9
2022-09-30,149434394.3,154066343.7
2022-10-31,153982046.8,167952747.8
2022-11-30,159090090.2,168053113.3
2022-12-31,165083815.4,168824220.6
2023-01-31,168512167.3,175688352.0
2023-02-28,152525316.8,156063169.6
2023-03-31,163655021.1,170603711.9
2023-04-30,144521191.7,148561077.7
2023-05-31,145321356.7,149568574.2
2023-06-30,141918709.9,146616105.6
2023-07-31,145063890.5,143940959.8
2023-08-31,145222952.1,140896664.6
2023-09-30,143174835.1,138659491.1
2023-10-31,155078449.4,150135132.3
2023-11-30,164300803.7,157549562.1
2023-12-31,163795963.8,161254102.0
2024-01-31,176434392.3,169628899.4
2024-02-29,159813014.4,157733223.1
2024-03-31,160852555.7,159459820.5
2024-04-30,144755927.3,150012751.6
2024-05-31,140971145.2,149216646.2
2024-06-30,144700471.3,146881051.4
2024-07-31,150948164.8,151831700.0
2024-08-31,150275711.9,146809630.4
2024-09-30,18961342.1,24127681.8
