"Area","MTU","Solar  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2023 00:00 - 01.01.2023 00:15 (CET/CEST)","2"
"Germany (DE)","01.01.2023 00:15 - 01.01.2023 00:30 (CET/CEST)","1"
"Germany (DE)","01.01.2023 00:30 - 01.01.2023 00:45 (CET/CEST)","1"
"Germany (DE)","01.01.2023 00:45 - 01.01.2023 01:00 (CET/CEST)","1"
"Germany (DE)","01.01.2023 01:00 - 01.01.2023 01:15 (CET/CEST)","1"
"Germany (DE)","01.01.2023 01:15 - 01.01.2023 01:30 (CET/CEST)","1"
"Germany (DE)","01.01.2023 01:30 - 01.01.2023 01:45 (CET/CEST)","1"
"Germany (DE)","01.01.2023 01:45 - 01.01.2023 02:00 (CET/CEST)","1"
"Germany (DE)","01.01.2023 02:00 - 01.01.2023 02:15 (CET/CEST)","2"
"Germany (DE)","01.01.2023 02:15 - 01.01.2023 02:30 (CET/CEST)","1"
"Germany (DE)","01.01.2023 02:30 - 01.01.2023 02:45 (CET/CEST)","1"
"Germany (DE)","01.01.2023 02:45 - 01.01.2023 03:00 (CET/CEST)","1"
"Germany (DE)","01.01.2023 03:00 - 01.01.2023 03:15 (CET/CEST)","1"
"Germany (DE)","01.01.2023 03:15 - 01.01.2023 03:30 (CET/CEST)","1"
"Germany (DE)","01.01.2023 03:30 - 01.01.2023 03:45 (CET/CEST)","1"
"Germany (DE)","01.01.2023 03:45 - 01.01.2023 04:00 (CET/CEST)","1"
"Germany (DE)","01.01.2023 04:00 - 01.01.2023 04:15 (CET/CEST)","2"
"Germany (DE)","01.01.2023 04:15 - 01.01.2023 04:30 (CET/CEST)","1"
"Germany (DE)","01.01.2023 04:30 - 01.01.2023 04:45 (CET/CEST)","2"
"Germany (DE)","01.01.2023 04:45 - 01.01.2023 05:00 (CET/CEST)","1"
"Germany (DE)","01.01.2023 05:00 - 01.01.2023 05:15 (CET/CEST)","3"
"Germany (DE)","01.01.2023 05:15 - 01.01.2023 05:30 (CET/CEST)","1"
"Germany (DE)","01.01.2023 05:30 - 01.01.2023 05:45 (CET/CEST)","1"
"Germany (DE)","01.01.2023 05:45 - 01.01.2023 06:00 (CET/CEST)","1"
"Germany (DE)","01.01.2023 06:00 - 01.01.2023 06:15 (CET/CEST)","2"
"Germany (DE)","01.01.2023 06:15 - 01.01.2023 06:30 (CET/CEST)","1"
"Germany (DE)","01.01.2023 06:30 - 01.01.2023 06:45 (CET/CEST)","1"
"Germany (DE)","01.01.2023 06:45 - 01.01.2023 07:00 (CET/CEST)","1"
"Germany (DE)","01.01.2023 07:00 - 01.01.2023 07:15 (CET/CEST)","1"
"Germany (DE)","01.01.2023 07:15 - 01.01.2023 07:30 (CET/CEST)","1"
"Germany (DE)","01.01.2023 07:30 - 01.01.2023 07:45 (CET/CEST)","1"
"Germany (DE)","01.01.2023 07:45 - 01.01.2023 08:00 (CET/CEST)","2"
"Germany (DE)","01.01.2023 08:00 - 01.01.2023 08:15 (CET/CEST)","12"
"Germany (DE)","01.01.2023 08:15 - 01.01.2023 08:30 (CET/CEST)","106"
"Germany (DE)","01.01.2023 08:30 - 01.01.2023 08:45 (CET/CEST)","600"
"Germany (DE)","01.01.2023 08:45 - 01.01.2023 09:00 (CET/CEST)","1344"
"Germany (DE)","01.01.2023 09:00 - 01.01.2023 09:15 (CET/CEST)","2182"
"Germany (DE)","01.01.2023 09:15 - 01.01.2023 09:30 (CET/CEST)","2980"
"Germany (DE)","01.01.2023 09:30 - 01.01.2023 09:45 (CET/CEST)","3767"
"Germany (DE)","01.01.2023 09:45 - 01.01.2023 10:00 (CET/CEST)","4566"
"Germany (DE)","01.01.2023 10:00 - 01.01.2023 10:15 (CET/CEST)","5402"
"Germany (DE)","01.01.2023 10:15 - 01.01.2023 10:30 (CET/CEST)","6130"
"Germany (DE)","01.01.2023 10:30 - 01.01.2023 10:45 (CET/CEST)","6776"
"Germany (DE)","01.01.2023 10:45 - 01.01.2023 11:00 (CET/CEST)","7413"
"Germany (DE)","01.01.2023 11:00 - 01.01.2023 11:15 (CET/CEST)","7963"
"Germany (DE)","01.01.2023 11:15 - 01.01.2023 11:30 (CET/CEST)","8396"
"Germany (DE)","01.01.2023 11:30 - 01.01.2023 11:45 (CET/CEST)","8772"
"Germany (DE)","01.01.2023 11:45 - 01.01.2023 12:00 (CET/CEST)","8988"
"Germany (DE)","01.01.2023 12:00 - 01.01.2023 12:15 (CET/CEST)","8970"
"Germany (DE)","01.01.2023 12:15 - 01.01.2023 12:30 (CET/CEST)","8935"
"Germany (DE)","01.01.2023 12:30 - 01.01.2023 12:45 (CET/CEST)","8976"
"Germany (DE)","01.01.2023 12:45 - 01.01.2023 13:00 (CET/CEST)","8840"
"Germany (DE)","01.01.2023 13:00 - 01.01.2023 13:15 (CET/CEST)","8652"
"Germany (DE)","01.01.2023 13:15 - 01.01.2023 13:30 (CET/CEST)","8231"
"Germany (DE)","01.01.2023 13:30 - 01.01.2023 13:45 (CET/CEST)","7577"
"Germany (DE)","01.01.2023 13:45 - 01.01.2023 14:00 (CET/CEST)","6894"
"Germany (DE)","01.01.2023 14:00 - 01.01.2023 14:15 (CET/CEST)","6248"
"Germany (DE)","01.01.2023 14:15 - 01.01.2023 14:30 (CET/CEST)","5502"
"Germany (DE)","01.01.2023 14:30 - 01.01.2023 14:45 (CET/CEST)","4642"
"Germany (DE)","01.01.2023 14:45 - 01.01.2023 15:00 (CET/CEST)","3774"
"Germany (DE)","01.01.2023 15:00 - 01.01.2023 15:15 (CET/CEST)","2927"
"Germany (DE)","01.01.2023 15:15 - 01.01.2023 15:30 (CET/CEST)","2144"
"Germany (DE)","01.01.2023 15:30 - 01.01.2023 15:45 (CET/CEST)","1398"
"Germany (DE)","01.01.2023 15:45 - 01.01.2023 16:00 (CET/CEST)","775"
"Germany (DE)","01.01.2023 16:00 - 01.01.2023 16:15 (CET/CEST)","327"
"Germany (DE)","01.01.2023 16:15 - 01.01.2023 16:30 (CET/CEST)","85"
"Germany (DE)","01.01.2023 16:30 - 01.01.2023 16:45 (CET/CEST)","10"
"Germany (DE)","01.01.2023 16:45 - 01.01.2023 17:00 (CET/CEST)","3"
"Germany (DE)","01.01.2023 17:00 - 01.01.2023 17:15 (CET/CEST)","2"
"Germany (DE)","01.01.2023 17:15 - 01.01.2023 17:30 (CET/CEST)","2"
"Germany (DE)","01.01.2023 17:30 - 01.01.2023 17:45 (CET/CEST)","3"
"Germany (DE)","01.01.2023 17:45 - 01.01.2023 18:00 (CET/CEST)","3"
"Germany (DE)","01.01.2023 18:00 - 01.01.2023 18:15 (CET/CEST)","2"
"Germany (DE)","01.01.2023 18:15 - 01.01.2023 18:30 (CET/CEST)","2"
"Germany (DE)","01.01.2023 18:30 - 01.01.2023 18:45 (CET/CEST)","2"
"Germany (DE)","01.01.2023 18:45 - 01.01.2023 19:00 (CET/CEST)","1"
"Germany (DE)","01.01.2023 19:00 - 01.01.2023 19:15 (CET/CEST)","1"
"Germany (DE)","01.01.2023 19:15 - 01.01.2023 19:30 (CET/CEST)","1"
"Germany (DE)","01.01.2023 19:30 - 01.01.2023 19:45 (CET/CEST)","1"
"Germany (DE)","01.01.2023 19:45 - 01.01.2023 20:00 (CET/CEST)","2"
"Germany (DE)","01.01.2023 20:00 - 01.01.2023 20:15 (CET/CEST)","1"
"Germany (DE)","01.01.2023 20:15 - 01.01.2023 20:30 (CET/CEST)","2"
