"Area","MTU","Solar  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2024 00:00 - 01.01.2024 00:15 (CET/CEST)","3"
"Germany (DE)","01.01.2024 00:15 - 01.01.2024 00:30 (CET/CEST)","3"
"Germany (DE)","01.01.2024 00:30 - 01.01.2024 00:45 (CET/CEST)","2"
"Germany (DE)","01.01.2024 00:45 - 01.01.2024 01:00 (CET/CEST)","2"
"Germany (DE)","01.01.2024 01:00 - 01.01.2024 01:15 (CET/CEST)","3"
"Germany (DE)","01.01.2024 01:15 - 01.01.2024 01:30 (CET/CEST)","2"
"Germany (DE)","01.01.2024 01:30 - 01.01.2024 01:45 (CET/CEST)","2"
"Germany (DE)","01.01.2024 01:45 - 01.01.2024 02:00 (CET/CEST)","2"
"Germany (DE)","01.01.2024 02:00 - 01.01.2024 02:15 (CET/CEST)","3"
"Germany (DE)","01.01.2024 02:15 - 01.01.2024 02:30 (CET/CEST)","2"
"Germany (DE)","01.01.2024 02:30 - 01.01.2024 02:45 (CET/CEST)","2"
"Germany (DE)","01.01.2024 02:45 - 01.01.2024 03:00 (CET/CEST)","2"
"Germany (DE)","01.01.2024 03:00 - 01.01.2024 03:15 (CET/CEST)","2"
"Germany (DE)","01.01.2024 03:15 - 01.01.2024 03:30 (CET/CEST)","2"
"Germany (DE)","01.01.2024 03:30 - 01.01.2024 03:45 (CET/CEST)","3"
"Germany (DE)","01.01.2024 03:45 - 01.01.2024 04:00 (CET/CEST)","2"
"Germany (DE)","01.01.2024 04:00 - 01.01.2024 04:15 (CET/CEST)","2"
"Germany (DE)","01.01.2024 04:15 - 01.01.2024 04:30 (CET/CEST)","2"
"Germany (DE)","01.01.2024 04:30 - 01.01.2024 04:45 (CET/CEST)","2"
"Germany (DE)","01.01.2024 04:45 - 01.01.2024 05:00 (CET/CEST)","2"
"Germany (DE)","01.01.2024 05:00 - 01.01.2024 05:15 (CET/CEST)","2"
"Germany (DE)","01.01.2024 05:15 - 01.01.2024 05:30 (CET/CEST)","2"
"Germany (DE)","01.01.2024 05:30 - 01.01.2024 05:45 (CET/CEST)","2"
"Germany (DE)","01.01.2024 05:45 - 01.01.2024 06:00 (CET/CEST)","2"
"Germany (DE)","01.01.2024 06:00 - 01.01.2024 06:15 (CET/CEST)","2"
"Germany (DE)","01.01.2024 06:15 - 01.01.2024 06:30 (CET/CEST)","2"
"Germany (DE)","01.01.2024 06:30 - 01.01.2024 06:45 (CET/CEST)","2"
