Datum (MEZ),Last,Last Prognose (Day-Ahead D-1 18:00),Solar,Solar Prognose (Day-Ahead D-1 18:00),Solar_diff,Solar_Prognose_diff
2014-12-31,178400.6,168622.9,0.0,0.0,178400.6,168622.9
2015-01-31,180588921.4,166318286.9,2238693.4,2376222.5,178350228.0,163942064.4
2015-02-28,168185438.9,155157909.0,5484011.5,5444871.8,162701427.4,149713037.2
2015-03-31,177742301.9,169419376.7,11434303.1,11657984.5,166307998.8,157761392.2
2015-04-30,160103042.7,154052687.6,17741565.0,17533793.0,142361477.7,136518894.6
2015-05-31,157166900.5,151171039.9,17646370.2,18293171.1,139520530.3,132877868.80000001
2015-06-30,156930478.7,144321774.2,18211292.1,19012914.0,138719186.6,125308860.19999999
2015-07-31,165560218.1,159112762.3,19670021.0,20219154.9,145890197.1,138893607.4
2015-08-31,160094190.1,156220879.3,18450274.4,18912768.7,141643915.7,137308110.60000002
2015-09-30,161415454.1,155851583.8,12906123.2,13267304.0,148509330.9,142584279.8
2015-10-31,170874317.8,161303446.9,7785380.7,8240714.7,163088937.10000002,153062732.20000002
2015-11-30,173198680.0,163491075.2,4545935.4,4383166.2,168652744.6,159107909.0
2015-12-31,169014385.6,165028241.7,3403728.1,3250833.0,165610657.5,161777408.7
2016-01-31,179819827.9,166031568.9,2617230.3,2640433.8,177202597.6,163391135.1
2016-02-29,171221603.2,160427872.3,5028572.6,5396103.6,166193030.6,155031768.70000002
2016-03-31,175148055.4,164115135.8,9656628.1,9616994.6,165491427.3,154498141.20000002
2016-04-30,162228823.6,150545964.1,15006120.3,15540332.4,147222703.29999998,135005631.7
2016-05-31,160636487.8,149476724.0,18867087.1,19593866.7,141769400.70000002,129882857.3
2016-06-30,158818071.5,150415929.9,19197242.5,18446299.7,139620829.0,131969630.2
2016-07-31,162157186.2,154416783.2,19733809.6,20022404.4,142423376.6,134394378.79999998
2016-08-31,160573819.9,152321986.1,18829192.1,19202564.4,141744627.8,133119421.69999999
2016-09-30,157596631.1,151635776.2,15300105.5,15499286.3,142296525.6,136136489.89999998
2016-10-31,168881130.7,159833181.9,6739407.0,7045370.1,162141723.7,152787811.8
2016-11-30,177551456.5,167323340.9,4116099.6,4321820.8,173435356.9,163001520.1
2016-12-31,177714905.6,166669538.2,3107867.0,3362255.5,174607038.6,163307282.7
2017-01-31,189241462.6,176304994.0,3193674.6,2943394.4,186047788.0,173361599.6
2017-02-28,168390825.3,163750170.9,5939863.8,5717826.1,162450961.5,158032344.8
2017-03-31,177420612.6,172223243.0,12922406.4,12590290.0,164498206.2,159632953.0
2017-04-30,159706612.1,152755879.2,15427429.7,15500262.3,144279182.4,137255616.89999998
2017-05-31,164178329.7,158318839.6,20481236.9,19762296.5,143697092.79999998,138556543.1
2017-06-30,157430572.3,154334253.9,21467426.4,21841904.7,135963145.9,132492349.2
2017-07-31,161912141.6,159222470.2,19545370.5,19532580.2,142366771.1,139689890.0
2017-08-31,160522388.2,155635067.8,18411143.0,18510427.1,142111245.2,137124640.70000002
2017-09-30,159605859.9,152432596.5,12317122.7,12612170.1,147288737.20000002,139820426.4
2017-10-31,169352781.3,162993584.8,8521258.1,8179447.3,160831523.20000002,154814137.5
2017-11-30,176420047.2,171286306.6,3324068.7,3668560.1,173095978.5,167617746.5
2017-12-31,178510096.8,173479259.4,1981672.2,2121998.5,176528424.60000002,171357260.9
2018-01-31,185895772.0,179847671.2,2920583.1,2770564.8,182975188.9,177077106.39999998
2018-02-28,171742541.6,165846415.8,7321995.2,7381050.0,164420546.4,158465365.8
2018-03-31,184080960.7,178009039.2,10815630.7,10318586.9,173265330.0,167690452.29999998
2018-04-30,160885973.6,154324841.1,19348182.7,19189125.9,141537790.9,135135715.2
2018-05-31,162186560.8,156955955.9,23725900.3,23808448.3,138460660.5,133147507.60000001
2018-06-30,161271937.9,157395040.9,21349267.3,21377038.4,139922670.6,136018002.5
2018-07-31,163831871.1,162035612.9,24667591.3,24876241.8,139164279.79999998,137159371.1
2018-08-31,164813469.9,162754762.7,20733830.5,20897589.8,144079639.4,141857172.89999998
2018-09-30,160841260.6,157299695.9,16277256.8,16233107.4,144564003.79999998,141066588.5
2018-10-31,172590806.7,167606653.6,10994334.3,11325811.0,161596472.39999998,156280842.6
2018-11-30,174255713.1,169224888.5,4683806.2,5122210.5,169571906.9,164102678.0
2018-12-31,174220633.3,167574397.4,2098656.3,2158353.1,172121977.0,165416044.3
2019-01-31,185723330.4,176822581.7,2980078.9,3040333.2,182743251.5,173782248.5
2019-02-28,165194726.2,160480975.6,8765070.0,8422599.3,156429656.2,152058376.29999998
2019-03-31,174880939.0,168224083.4,12207956.7,11763721.5,162672982.3,156460361.9
2019-04-30,157897715.7,150806508.1,20445447.3,20714309.4,137452268.39999998,130092198.69999999
2019-05-31,162478344.7,152724042.4,20092504.6,19363017.6,142385840.1,133361024.80000001
2019-06-30,152501405.3,145442022.4,25817155.1,25793215.5,126684250.20000002,119648806.9
2019-07-31,163743443.6,161156287.4,22938328.6,22882675.3,140805115.0,138273612.1
2019-08-31,158194556.8,153963857.3,21112373.1,20971352.8,137082183.70000002,132992504.50000001
2019-09-30,157662772.6,152120457.3,15656706.4,15399716.8,142006066.2,136720740.5
2019-10-31,169254410.9,162669177.2,9715991.5,9940072.5,159538419.4,152729104.7
2019-11-30,172005326.1,164124031.2,4193350.1,4436748.8,167811976.0,159687282.39999998
2019-12-31,169611819.1,166640409.3,3734064.8,3540457.5,165877754.29999998,163099951.8
2020-01-31,181259289.5,175073717.3,4286393.3,4257956.1,176972896.2,170815761.20000002
2020-02-29,172413350.1,167155261.3,6648287.8,6614952.9,165765062.29999998,160540308.4
2020-03-31,171397380.4,171926938.9,16393856.0,16465622.0,155003524.4,155461316.9
2020-04-30,146031437.6,147665155.9,25344002.9,25348823.2,120687434.69999999,122316332.7
2020-05-31,148395077.8,148613678.7,24916408.4,24652455.2,123478669.4,123961223.49999999
2020-06-30,145862055.6,144349754.0,22962201.6,22951775.8,122899854.0,121397978.2
2020-07-31,153800277.6,151426403.9,25149087.2,24742895.6,128651190.39999999,126683508.30000001
2020-08-31,154032930.9,149570870.2,21792008.2,21858117.6,132240922.7,127712752.6
2020-09-30,154727556.5,149006453.2,18465757.1,18605809.6,136261799.4,130400643.6
2020-10-31,170615636.5,165065309.5,8568411.3,8841742.9,162047225.2,156223566.6
2020-11-30,170826504.5,164969798.6,5995762.9,6410896.5,164830741.6,158558902.1
2020-12-31,171804265.1,165567636.8,2683755.3,2689476.7,169120509.79999998,162878160.10000002
2021-01-31,182508897.4,169934526.9,2430017.0,2552163.3,180078880.4,167382363.6
2021-02-28,166871287.4,160025267.5,7921214.9,8010501.6,158950072.5,152014765.9
2021-03-31,179601933.6,169328979.8,16531979.5,16122123.2,163069954.1,153206856.60000002
2021-04-30,164200075.9,154443165.1,21882949.5,21516235.8,142317126.4,132926929.3
2021-05-31,160931979.8,160773209.2,23559877.3,23210032.4,137372102.5,137563176.79999998
2021-06-30,157934007.8,155304370.5,28390942.5,28504509.5,129543065.30000001,126799861.0
2021-07-31,162452920.3,159457551.7,24865824.6,25526787.6,137587095.70000002,133930764.1
2021-08-31,157628602.4,156108970.6,21083792.6,21099577.3,136544809.8,135009393.29999998
2021-09-30,158056644.5,156122617.4,19121315.4,19754395.5,138935329.1,136368221.9
2021-10-31,172688331.5,169118114.3,12766490.4,12968891.0,159921841.1,156149223.3
2021-11-30,175569144.5,169886910.8,4393189.2,4751276.5,171175955.3,165135634.3
2021-12-31,179617026.4,176090924.8,2830216.9,2759985.2,176786809.5,173330939.60000002
2022-01-31,185090964.9,179135286.7,3900669.9,3979091.5,181190295.0,175156195.2
2022-02-28,169275409.3,166756425.7,8933059.2,8836427.7,160342350.10000002,157919998.0
2022-03-31,175876522.7,173236056.5,21987391.0,22469899.3,153889131.7,150766157.2
2022-04-30,160399923.3,159096524.3,22362088.4,21511767.2,138037834.9,137584757.10000002
2022-05-31,159568548.3,157337208.2,29441622.7,29564431.8,130126925.60000001,127772776.39999999
2022-06-30,149474454.8,150129281.2,31490045.9,30679939.2,117984408.9,119449341.99999999
2022-07-31,153408984.4,156722022.3,31615464.3,31673738.6,121793520.10000001,125048283.70000002
2022-08-31,149843683.2,154933233.9,29147498.3,29547559.5,120696184.89999999,125385674.4
2022-09-30,149434394.3,154066343.7,18927546.5,18802948.4,130506847.80000001,135263395.29999998
2022-10-31,153982046.8,167952747.8,14131682.5,14505475.3,139850364.3,153447272.5
2022-11-30,159090090.2,168053113.3,6815955.6,6950654.6,152274134.6,161102458.70000002
2022-12-31,165083815.4,168824220.6,2626392.7,3085007.4,162457422.70000002,165739213.2
2023-01-31,168512167.3,175688352.0,3419295.6,3706419.7,165092871.70000002,171981932.3
2023-02-28,152525316.8,156063169.6,9414090.5,9120398.5,143111226.3,146942771.1
2023-03-31,163655021.1,170603711.9,15017941.7,14184192.1,148637079.4,156419519.8
2023-04-30,144521191.7,148561077.7,21619158.9,21552834.6,122902032.79999998,127008243.1
2023-05-31,145321356.7,149568574.2,31378331.0,31531339.2,113943025.69999999,118037234.99999999
2023-06-30,141918709.9,146616105.6,34945387.3,35467777.4,106973322.60000001,111148328.19999999
2023-07-31,145063890.5,143940959.8,30465735.0,30916093.4,114598155.5,113024866.4
2023-08-31,145222952.1,140896664.6,25975760.2,26224215.9,119247191.89999999,114672448.69999999
2023-09-30,143174835.1,138659491.1,26413732.3,26678695.2,116761102.8,111980795.89999999
2023-10-31,155078449.4,150135132.3,13505106.2,13517488.1,141573343.20000002,136617644.20000002
2023-11-30,164300803.7,157549562.1,5610056.0,5826805.1,158690747.7,151722757.0
2023-12-31,163795963.8,161254102.0,3181422.0,3201361.6,160614541.8,158052740.4
2024-01-31,176434392.3,169628899.4,5870241.9,5980336.0,170564150.4,163648563.4
2024-02-29,159813014.4,157733223.1,9052333.6,9053322.0,150760680.8,148679901.1
2024-03-31,160852555.7,159459820.5,19604767.2,19294695.1,141247788.5,140165125.4
2024-04-30,144755927.3,150012751.6,26607752.5,25037550.4,118148174.80000001,124975201.19999999
2024-05-31,140971145.2,149216646.2,34256559.3,33432168.3,106714585.89999999,115784477.89999999
2024-06-30,144700471.3,146881051.4,35142943.2,36245213.4,109557528.10000001,110635838.0
2024-07-31,150948164.8,151831700.0,37850243.0,38667708.1,113097921.80000001,113163991.9
2024-08-31,150275711.9,146809630.4,36154701.2,36343839.4,114121010.7,110465791.0
2024-09-30,18961342.1,24127681.8,4463654.4,4383405.2,14497687.700000001,19744276.6
